aggregation_weighting,amounts_per_partner,dataset_name,epoch_count,final_relative_nb_samples,gradient_updates_per_pass_count,is_early_stopping,learning_computation_time_sec,minibatch_count,mpl_nb_epochs_done,mpl_test_score,multi_partner_learning_approach,nb_samples_used,partners_count,samples_split_option,scenario_name,short_scenario_name,single_partner_test_mode,test_data_samples_count,train_data_samples_count,random_state,scenario_id
uniform,"[0.4, 0.3, 0.3]",cifar10,50.0,"[0.4, 0.3, 0.3]",8.0,1.0,204.5371817536652,10.0,8.0,0.2094999998807907,seq-pure,40000.0,3.0,stratified,scenario_14_repeat_4_2020-06-15_22h41_4e6,"3 [0.4, 0.3, 0.3]",global,10000.0,40000.0,3,13
uniform,"[0.4, 0.3, 0.3]",cifar10,50.0,"[0.4, 0.3, 0.3]",8.0,1.0,154.77545689977705,10.0,6.0,0.321399986743927,seq-with-final-agg,40000.0,3.0,stratified,scenario_15_repeat_4_2020-06-15_22h45_648,"3 [0.4, 0.3, 0.3]",global,10000.0,40000.0,3,14
uniform,"[0.4, 0.3, 0.3]",cifar10,50.0,"[0.4, 0.3, 0.3]",8.0,1.0,224.46607051230967,10.0,5.0,0.11020000278949738,seqavg,40000.0,3.0,stratified,scenario_16_repeat_4_2020-06-15_22h47_79b,"3 [0.4, 0.3, 0.3]",global,10000.0,40000.0,3,15
uniform,"[0.4, 0.3, 0.3]",mnist,50.0,"[0.4, 0.3, 0.3]",8.0,1.0,648.3740303386003,10.0,12.0,0.9890999794006348,fedavg,48000.0,3.0,random,scenario_1_repeat_5_2020-06-15_22h51_b69,"3 [0.4, 0.3, 0.3]",global,10000.0,48000.0,4,0
uniform,"[0.4, 0.3, 0.3]",mnist,50.0,"[0.4, 0.3, 0.3]",8.0,1.0,102.99194646067917,10.0,5.0,0.9865000247955322,seq-pure,48000.0,3.0,random,scenario_2_repeat_5_2020-06-15_23h02_b36,"3 [0.4, 0.3, 0.3]",global,10000.0,48000.0,4,1
uniform,"[0.4, 0.3, 0.3]",mnist,50.0,"[0.4, 0.3, 0.3]",8.0,1.0,148.3296465538442,10.0,7.0,0.9901000261306763,seq-with-final-agg,48000.0,3.0,random,scenario_3_repeat_5_2020-06-15_23h04_16c,"3 [0.4, 0.3, 0.3]",global,10000.0,48000.0,4,2
uniform,"[0.4, 0.3, 0.3]",mnist,50.0,"[0.4, 0.3, 0.3]",8.0,1.0,221.09466280788183,10.0,7.0,0.9886000156402588,seqavg,48000.0,3.0,random,scenario_4_repeat_5_2020-06-15_23h06_f8f,"3 [0.4, 0.3, 0.3]",global,10000.0,48000.0,4,3
uniform,"[0.4, 0.3, 0.3]",mnist,50.0,"[0.4, 0.3, 0.3]",8.0,1.0,320.92780168540776,10.0,6.0,0.8611000180244446,fedavg,48000.0,3.0,stratified,scenario_5_repeat_5_2020-06-15_23h10_643,"3 [0.4, 0.3, 0.3]",global,10000.0,48000.0,4,4
uniform,"[0.4, 0.3, 0.3]",mnist,50.0,"[0.4, 0.3, 0.3]",8.0,1.0,257.79156279563904,10.0,11.0,0.9848999977111816,seq-pure,48000.0,3.0,stratified,scenario_6_repeat_5_2020-06-15_23h15_c7b,"3 [0.4, 0.3, 0.3]",global,10000.0,48000.0,4,5
uniform,"[0.4, 0.3, 0.3]",mnist,50.0,"[0.4, 0.3, 0.3]",8.0,1.0,233.23650651611388,10.0,11.0,0.9872999787330627,seq-with-final-agg,48000.0,3.0,stratified,scenario_7_repeat_5_2020-06-15_23h19_77a,"3 [0.4, 0.3, 0.3]",global,10000.0,48000.0,4,6
uniform,"[0.4, 0.3, 0.3]",mnist,50.0,"[0.4, 0.3, 0.3]",8.0,1.0,451.3269066978246,10.0,14.0,0.9865000247955322,seqavg,48000.0,3.0,stratified,scenario_8_repeat_5_2020-06-15_23h23_6e5,"3 [0.4, 0.3, 0.3]",global,10000.0,48000.0,4,7
uniform,"[0.4, 0.3, 0.3]",cifar10,50.0,"[0.4, 0.3, 0.3]",8.0,1.0,2764.976197283715,10.0,26.0,0.7365999817848206,fedavg,40000.0,3.0,random,scenario_9_repeat_5_2020-06-15_23h31_568,"3 [0.4, 0.3, 0.3]",global,10000.0,40000.0,4,8
uniform,"[0.4, 0.3, 0.3]",cifar10,50.0,"[0.4, 0.3, 0.3]",8.0,1.0,623.1295729465783,10.0,24.0,0.6279000043869019,seq-pure,40000.0,3.0,random,scenario_10_repeat_5_2020-06-16_00h17_56f,"3 [0.4, 0.3, 0.3]",global,10000.0,40000.0,4,9
uniform,"[0.4, 0.3, 0.3]",cifar10,50.0,"[0.4, 0.3, 0.3]",8.0,1.0,1003.0319782812148,10.0,38.0,0.6962000131607056,seq-with-final-agg,40000.0,3.0,random,scenario_11_repeat_5_2020-06-16_00h28_e0c,"3 [0.4, 0.3, 0.3]",global,10000.0,40000.0,4,10
uniform,"[0.4, 0.3, 0.3]",cifar10,50.0,"[0.4, 0.3, 0.3]",8.0,1.0,1096.92327635549,10.0,23.0,0.7616000175476074,seqavg,40000.0,3.0,random,scenario_12_repeat_5_2020-06-16_00h44_410,"3 [0.4, 0.3, 0.3]",global,10000.0,40000.0,4,11
uniform,"[0.4, 0.3, 0.3]",cifar10,50.0,"[0.4, 0.3, 0.3]",8.0,1.0,1030.6610789801925,10.0,10.0,0.3603000044822693,fedavg,40000.0,3.0,stratified,scenario_13_repeat_5_2020-06-16_01h03_33a,"3 [0.4, 0.3, 0.3]",global,10000.0,40000.0,4,12
uniform,"[0.4, 0.3, 0.3]",cifar10,50.0,"[0.4, 0.3, 0.3]",8.0,1.0,224.7380359210074,10.0,8.0,0.20440000295639038,seq-pure,40000.0,3.0,stratified,scenario_14_repeat_5_2020-06-16_01h20_c58,"3 [0.4, 0.3, 0.3]",global,10000.0,40000.0,4,13
uniform,"[0.4, 0.3, 0.3]",cifar10,50.0,"[0.4, 0.3, 0.3]",8.0,1.0,371.08894566074014,10.0,11.0,0.37560001015663147,seq-with-final-agg,40000.0,3.0,stratified,scenario_15_repeat_5_2020-06-16_01h24_8b8,"3 [0.4, 0.3, 0.3]",global,10000.0,40000.0,4,14
uniform,"[0.4, 0.3, 0.3]",cifar10,50.0,"[0.4, 0.3, 0.3]",8.0,1.0,263.5128574632108,10.0,6.0,0.10000000149011612,seqavg,40000.0,3.0,stratified,scenario_16_repeat_5_2020-06-16_01h30_bf9,"3 [0.4, 0.3, 0.3]",global,10000.0,40000.0,4,15
uniform,"[0.4, 0.3, 0.3]",mnist,50.0,"[0.4, 0.3, 0.3]",8.0,1.0,648.3058404698968,10.0,11.0,0.9890000224113464,fedavg,48000.0,3.0,random,scenario_1_repeat_6_2020-06-16_01h34_3f6,"3 [0.4, 0.3, 0.3]",global,10000.0,48000.0,5,0
uniform,"[0.4, 0.3, 0.3]",mnist,50.0,"[0.4, 0.3, 0.3]",8.0,1.0,145.69846972078085,10.0,7.0,0.9902999997138977,seq-pure,48000.0,3.0,random,scenario_2_repeat_6_2020-06-16_01h45_c74,"3 [0.4, 0.3, 0.3]",global,10000.0,48000.0,5,1
uniform,"[0.4, 0.3, 0.3]",mnist,50.0,"[0.4, 0.3, 0.3]",8.0,1.0,161.23102247342467,10.0,7.0,0.9883000254631042,seq-with-final-agg,48000.0,3.0,random,scenario_3_repeat_6_2020-06-16_01h48_91c,"3 [0.4, 0.3, 0.3]",global,10000.0,48000.0,5,2
